ID,date,sex,UTM,NOR,EAS,location,site,headLength,snoutVentLength,tailLength,totalLength,weight_g,autotomy
TAFN01,10/13/2014,M,25,563676,9574474,ICMBio,APA,1.5,8.2,13.5,21.7,,
TAFN02,10/16/2014,M,25,563353,9574746,Boldro,APA,1.5,10.5,15.5,26,,Old
TAFN03,10/16/2014,M,25,563338,9574737,Boldro,APA,1.7,10.4,14.5,24.9,,Old
TAFN04,10/17/2014,M,25,563164,9574759,Forte Boldro,APA,1.6,10.2,12,22.2,,Old
TAFN05,10/17/2014,F,25,563167,9574778,Forte Boldro,APA,1.4,9.5,14.5,24,,
TAFN06,10/17/2014,M,25,564065,9573075,Pedreira do Sueste,PARNA,1.1,8.5,15,23.5,,
TAFN07,10/21/2014,M,25,560073,9571626,Capim Acu,PARNA,1.6,9.5,10.5,20,,Old
TAFN08,10/21/2014,F,25,559746,9571744,Capim Acu,PARNA,1.4,9,9,18,,Old
TAFN09,10/23/2014,M,25,563659,9571858,Caracas,PARNA,1.8,10.2,16.5,26.7,,
TAFN10,10/23/2014,F,25,563477,9572204,Praia de Pedra,PARNA,1.2,9.2,11,20.2,,Old
TAFN100,10/27/2016,M,25,563724,9574470,ICMBio,APA,1.2,8.1,13.2,21.3,14,
TAFN101,10/31/2016,M,25,562045,9573738,Sancho,PARNA,2,10,15,25,21,Old
TAFN102,10/31/2016,M,25,562912,9572420,Praia do Leao,PARNA,1.9,9.7,13.5,23.2,21,
TAFN105,10/31/2016,M,25,561409,9573444,Baia Golfinho,PARNA,1,5,11.3,16.3,3,
TAFN106,10/31/2016,M,25,563710,9574482,ICMBio,APA,1.3,7,8.5,15.5,7,
TAFN11,10/24/2014,F,25,563356,9574892,Boldro,APA,1.2,8,13.4,21.4,,
TAFN111,11/11/2016,F,25,562881,9572295,Praia do Leao,PARNA,1.5,8.6,12.5,21.1,16,
TAFN119,4/14/2018,M,25,567254,9577784,Ilha do Meio,Secondary,1.9,7.9,15.9,23.8,,
TAFN12,10/25/2014,F,25,565311,9575137,Floresta Velha,APA,1.4,8.6,14.9,23.5,,
TAFN121,4/14/2018,M,25,567254,9577784,Ilha do Meio,Secondary,2.3,8.9,16.1,25,,
TAFN122,4/16/2018,F,25,564024,9574924,Pedra da Cebola,PARNA,2,8.1,12.2,20.3,12,
TAFN123,4/16/2018,F,25,564024,9574924,Pedra da Cebola,PARNA,1.9,8.6,11.4,20,10,
TAFN124,4/16/2018,F,25,564024,9574924,Pedra da Cebola,PARNA,1.7,7.8,8.7,16.5,7,
TAFN125,4/16/2018,M,25,564024,9574924,Pedra da Cebola,PARNA,2.1,9.3,13.2,22.5,17,
TAFN126,4/18/2018,M,25,567956,9578616,Ilha Rata,Secondary,2.1,9.5,15.7,25.2,16,
TAFN127,4/18/2018,F,25,567956,9578616,Ilha Rata,Secondary,1.9,8.8,11.5,20.3,15,
TAFN128,4/19/2018,M,25,564654,9574520,Casa da Policia,APA,2.2,9.4,10.9,20.3,17,
TAFN129,4/19/2018,M,25,564654,9574520,Casa da Policia,APA,1.8,7.8,14.4,22.2,9,
TAFN13,10/27/2014,M,25,561330,9573072,Baia Golfinho,APA,1.6,10,12.9,22.9,,Old
TAFN130,4/21/2018,F,25,563019,9574716,Pedreira Americano,APA,1.7,7.1,12.1,19.2,8,
TAFN131,4/21/2018,M,25,563019,9574716,Pedreira Americano,APA,2.3,9.7,12.3,22,21,
TAFN132,4/21/2018,F,25,563019,9574716,Pedreira Americano,APA,1.9,8.5,13.2,21.7,12,
TAFN133,4/21/2018,M,25,563019,9574716,Pedreira Americano,APA,2.2,9.5,16.2,25.7,,
TAFN134,4/21/2018,F,25,563019,9574716,Pedreira Americano,APA,1.8,7.4,7.9,15.3,10,
TAFN135,4/21/2018,F,25,563019,9574716,Pedreira Americano,APA,1.8,8,6.6,14.6,10,
TAFN14,2/9/2015,F,25,563359,9574868,Forte Boldro,APA,1.2,7.4,12.5,19.9,10,Old
TAFN15,2/9/2015,M,25,563111,9574766,Forte Boldro,APA,1.6,9,15.5,24.5,20,
TAFN16,2/10/2015,F,25,563120,9574814,Forte Boldro,APA,1.5,9,14.2,23.2,17,
TAFN17,2/10/2015,F,25,563131,9574810,Forte Boldro,APA,1.1,7,13.6,20.6,9,
TAFN18,2/13/2015,M,25,563455,9572212,Praia de Pedra,PARNA,1.4,8,13.5,21.5,8,
TAFN19,2/15/2015,F,25,563818,9574471,Boldro,APA,1.4,7.9,14,21.9,12,
TAFN20,2/18/2015,M,25,563415,9572164,Praia de Pedra,PARNA,1.6,7,14.8,21.8,15,
TAFN21,2/20/2015,M,25,564214,9574588,Trilha Piquinho,APA,1.4,8,12.5,20.5,9,
TAFN22,2/20/2015,M,25,564214,9574588,Trilha Piquinho,APA,1.9,10.1,14.5,24.6,23,Old
TAFN24,2/20/2015,M,25,564029,9574738,Piquinho,APA,2,11,13,24,24,
TAFN25,2/20/2015,M,25,564029,9574738,Piquinho,APA,2,10.5,17,27.5,26,
TAFN26,2/23/2015,F,25,564033,9574821,Trilha do Pico,PARNA,1.4,7.9,13,20.9,12,
TAFN27,2/23/2015,M,25,564057,9574881,Trilha do Pico,PARNA,1.8,9.2,14.7,23.9,17,
TAFN28,2/23/2015,M,25,564170,9575032,Base do Pico,PARNA,2,10.3,16.5,26.8,28,
TAFN29,2/23/2015,M,25,564170,9575032,Base do Pico,PARNA,2,10.5,13,23.5,22,Old
TAFN30,2/25/2015,M,25,564400,9574320,Morro da Antena,PARNA,1.9,9,13.6,22.6,18,Old
TAFN31,2/25/2015,F,25,564439,9574210,Morro da Antena,PARNA,1.7,8.9,14.7,23.6,19,
TAFN32,2/25/2015,M,25,564393,9574158,Morro da Antena,PARNA,2,9.9,12,21.9,24,Old
TAFN33,2/26/2015,M,25,564376,9572403,Morro do Sueste,PARNA,1.9,9.8,15.1,24.9,24,
TAFN34,2/26/2015,M,25,564366,9572405,Morro do Sueste,PARNA,1.9,9.7,17.6,27.3,24,
TAFN35,2/26/2015,F,25,564427,9572500,Morro do Sueste,PARNA,1.5,8,11.3,19.3,12,
TAFN36,2/26/2015,F,25,564427,9572500,Morro do Sueste,PARNA,1.8,9.5,12.1,21.6,15,
TAFN37,11/5/2015,M,25,566084,9575206,Casa Aeronautica,APA,1.8,9.5,14.5,24,,
TAFN38,11/5/2015,M,25,566084,9575206,Casa Aeronautica,APA,1.5,8.7,16,24.7,,
TAFN39,11/6/2015,M,25,565201,9575195,Cemiterio,APA,2,10.5,10,20.5,,Old
TAFN40,11/6/2015,F,25,561191,9572791,Capim Acu,PARNA,1.3,7.8,12.6,20.4,12,
TAFN41,11/6/2015,M,25,561350,9572570,Capim Acu,PARNA,1.8,9,13.5,22.5,18,
TAFN42,11/6/2015,M,25,560651,9572268,Capim Acu,PARNA,1.9,9.4,16,25.4,19,
TAFN43,11/10/2015,F,25,566523,9574055,Trilha Longa Atalaia,PARNA,1.5,8.9,14,22.9,15,
TAFN44,11/10/2015,M,25,566875,9573817,Trilha Longa Atalaia,PARNA,1.7,9,11.5,20.5,12,Old
TAFN45,11/12/2015,F,25,563140,9574752,Forte Boldro,APA,1.6,9,12.8,21.8,16,
TAFN46,11/12/2015,M,25,562846,9574592,Pedreira do Bode,APA,2,9.4,11.8,21.2,18,Recent
TAFN47,11/16/2015,F,25,567312,9577765,Ilha do Meio,Secondary,1.4,7.5,11.2,18.7,11,
TAFN48,11/18/2015,F,25,567311,9577762,Ilha do Meio,Secondary,1.5,8.5,11.3,19.8,12,Old
TAFN49,11/18/2015,M,25,567433,9577951,Ilha do Meio,Secondary,2,10,12.8,22.8,23,
TAFN50,11/18/2015,M,25,567384,9577954,Ilha do Meio,Secondary,2,9.4,14.4,23.8,21,
TAFN51,11/19/2015,M,25,564992,9573694,Trilha Velha Atalaia,PARNA,1.6,9,16.9,25.9,18,
TAFN52,11/19/2015,F,25,564763,9573728,Trilha Velha Atalaia,PARNA,1.5,8.2,11.3,19.5,12,
TAFN53,11/19/2015,M,25,564440,9573689,Trilha Velha Atalaia,PARNA,1.5,8.9,15.3,24.2,16,
TAFN54,11/20/2015,F,25,567963,9578537,Ilha Rata,Secondary,1.4,8.9,13.3,22.2,15,
TAFN55,11/20/2015,M,25,567939,9578528,Ilha Rata,Secondary,2,10.5,15.5,26,27,
